control.1	control.2	control.3	rna1.1	rna1.2	rna1.3	rna2.1	rna2.2	rna2.3	Majority.protein.IDs	Protein.names	Gene.names
226770000	175040000	141850000	293100000	245070000	255670000	84410000	255910000	260970000	Q9HBI1;A6NG58;B5MDI0;B0QYM8;Q9HBI1-2;B0QYP6	Beta-parvin	PARVB
852640000	930240000	1041500000	972180000	988800000	959650000	1037200000	898690000	850410000	Q92733;A6NG79;E9PGC6	Proline-rich protein PRCC	PRCC
267580000	279740000	459130000	505180000	824800000	735430000	497980000	495560000	430920000	P51808;A6NGJ0	Dynein light chain Tctex-type 3	DYNLT3
847220000	830620000	990850000	723930000	815790000	784730000	885040000	1098800000	988600000	Q7Z7H8;A6NGJ4	39S ribosomal protein L10, mitochondrial	MRPL10
440820000	1197700000	822590000	1.22e+09	556650000	2243600000	674190000	1644400000	1719200000	Q9H910;A6NGP5;B4DLH4;B4DL85	Hematological and neurological expressed 1-like protein	HN1L
791010000	668490000	749320000	446700000	448230000	274170000	461900000	267650000	293070000	O95070;E9PIZ0;C9JST7;A6NGW1;F8W9A1	Protein YIF1A	YIF1A
368650000	385880000	274260000	217900000	326070000	261830000	280480000	362230000	248340000	Q14202;A6NHN7;A6NHB5;Q14202-2	Zinc finger MYM-type protein 3	ZMYM3
98190000	110640000	140520000	94862000	153460000	161140000	137160000	181920000	83986000	A6NHL2;A6NHL2-2	Tubulin alpha chain-like 3	TUBAL3
38033000	20422000	28742000	25317000	23771000	25807000	29287000	22254000	31904000	Q5TC82;Q9HBD1;A6NHN2;Q4VXB0;Q9HBD1-2;Q9HBD1-3;Q9HBD1-6;Q9HBD1-4;Q5TC82-2	Roquin-1;Roquin-2	RC3H1;RC3H2
4032300000	3711500000	3708800000	3.594e+09	3694800000	3439800000	3813200000	3600900000	3705500000	A6NHR9;A6NHR9-2	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1
890270000	503250000	648410000	585170000	685640000	469720000	645010000	765390000	726500000	Q9BVL2;Q5JRG1;C9JDH3;Q9BVL2-2;A6NI12	Nucleoporin p58/p45	NUPL1
198750000	322360000	218150000	245330000	262770000	256970000	318880000	244340000	289100000	Q96EL2;A6NI76	28S ribosomal protein S24, mitochondrial	MRPS24
46151000	35286000	54130000	56986000	46558000	58347000	31076000	32763000	52003000	Q96Q05;A6NIF0;Q96Q05-3;Q96Q05-2;H0YBR0	Trafficking protein particle complex subunit 9	TRAPPC9
41783000	29223000	38928000	32299000	44617000	35201000	35023000	31112000	35960000	Q969Y2;Q969Y2-3;A6NIG5;Q969Y2-2;B7Z563	tRNA modification GTPase GTPBP3, mitochondrial	GTPBP3
306990000	369100000	300210000	417430000	407140000	377210000	415540000	420390000	445380000	Q5JSL3;A6NIW2	Dedicator of cytokinesis protein 11	DOCK11
1025400000	724490000	1042400000	676210000	703800000	665120000	914070000	894920000	837560000	Q76FK4;A6NJK7;Q76FK4-4;F5H101;Q76FK4-3;Q76FK4-2;F8WE42	Nucleolar protein 8	NOL8
145430000	130440000	146910000	117210000	126600000	93572000	124190000	76629000	131400000	P32189;F8W7S9;P32189-1;A6NJP5;P32189-2;A6NP46;Q14409;F8WC39	Glycerol kinase;Putative glycerol kinase 3	GK;GK3P
2176600000	2230500000	2315700000	1541200000	1627400000	1821100000	1934600000	2314700000	2200800000	Q8WTT2;A6NJZ9;F5H677	Nucleolar complex protein 3 homolog	NOC3L
2897700000	3885700000	2976300000	3825800000	4721200000	4854300000	4450700000	3797700000	4836300000	O14579;A6NKA3;F5H1E1;A6NE29	Coatomer subunit epsilon	COPE
110230000	117090000	261490000	172260000	352900000	236590000	193830000	190990000	179310000	A6NKD9	Coiled-coil domain-containing protein 85C	CCDC85C
223210000	210710000	87253000	202220000	287180000	196380000	156980000	193140000	195950000	A6NKF1;F8WC89	SAC3 domain-containing protein 1	SAC3D1
8716200	7883400	20267000	13761000	35647000	19110000	29652000	17179000	18883000	Q99708;A8MTZ9;A6NKN2;E7ETY1	DNA endonuclease RBBP8	RBBP8
2346200000	2298100000	1995200000	2219600000	2333300000	2058300000	2086900000	2380700000	2097500000	A6NKV8	Polyadenylate-binding protein-interacting protein 1	PAIP1
144460000	219190000	150450000	53117000	137860000	132560000	111780000	70071000	84062000	Q13438;E9PEY5;E7EW91;E7ENT8;F8VUH2;Q13438-3;Q9BW99;Q13438-2;G3XA88;A6NLB2;B4E321	Protein OS-9	OS9;OR7D2
5158200000	4239300000	4193600000	4674900000	5721600000	4469500000	5187600000	4785800000	4679800000	P22307;A6NM69;C9JC79;B4DHP6;E1B6W5;P22307-2	Non-specific lipid-transfer protein	SCP2
714610000	610260000	512150000	569540000	609560000	545090000	416070000	529610000	581420000	O60879;A6NML8;C9J6U3;F5H7I1;O60879-2;O60879-3	Protein diaphanous homolog 2	DIAPH2
625510000	514190000	647550000	580670000	404020000	418880000	465080000	281230000	496590000	P46020;A6NMN0;P46020-2;A6NIT2;P46020-3	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform	PHKA1
809540000	889020000	831070000	1058800000	1.033e+09	1059100000	920180000	929910000	1.085e+09	Q7L5Y1;A6NMP3;Q7L5Y1-2	Mitochondrial enolase superfamily member 1	ENOSF1
2363700000	2250100000	2207900000	1887400000	1.99e+09	1829100000	1977700000	1916600000	2014200000	P09884;A6NMQ1	DNA polymerase alpha catalytic subunit;DNA polymerase	POLA1
3535300000	2955600000	3401200000	2550200000	2851100000	2524400000	2255300000	2529900000	2395300000	O43768;O43768-3;A6NMQ3;C9JUF4;Q5T5H1;O43768-6;O43768-5;O43768-2;O43768-7;E9PB69;O43768-4;D6RE62;O43768-8	Alpha-endosulfine	ENSA
1.2179e+10	1.1147e+10	1.0944e+10	1.3357e+10	1.4109e+10	1.4107e+10	1.0749e+10	1.0714e+10	1.0475e+10	A6NN80;E5RK69	Annexin	ANXA6
20082000	21957000	19802000	37562000	28107000	37625000	20616000	19934000	18721000	P17707;B4DZ60;A6NNH3	S-adenosylmethionine decarboxylase proenzyme;S-adenosylmethionine decarboxylase alpha chain;S-adenosylmethionine decarboxylase beta chain	AMD1
1145500000	885950000	649040000	732600000	867030000	669690000	1117600000	1151900000	1246300000	Q01968;Q01968-2;A6NNH7	Inositol polyphosphate 5-phosphatase OCRL-1	OCRL
1010800000	535570000	909520000	728770000	693340000	674010000	730690000	580890000	635230000	P21926;B4DPP0;A6NNI4;G8JLH6;E7ERM7	CD9 antigen	CD9
423150000	3.86e+08	370090000	320490000	234830000	246380000	437910000	442520000	310350000	Q14680;B7Z7Q1;A6P3A8;F5H0Y0;F5H689;A6P3A7;F5H2R4;B7Z6Y0	Maternal embryonic leucine zipper kinase	MELK
159040000	81608000	53382000	35024000	60619000	46888000	50043000	59857000	39476000	Q9H944;B4DE08;A6PVP4;B7ZBQ3;B7ZBQ1	Mediator of RNA polymerase II transcription subunit 20	MED20
57158000	34500000	52164000	118580000	112240000	137860000	66276000	97981000	120020000	Q9NNX1;A6PVU8;F5H607;Q9NNX1-3;Q9NNX1-2	Tuftelin	TUFT1
219530000	201920000	265790000	163170000	179060000	198820000	189390000	189990000	169930000	Q15906;A6PW55	Vacuolar protein sorting-associated protein 72 homolog	VPS72
557770000	482940000	796470000	618040000	800250000	807730000	944060000	1068200000	1002300000	Q99755-4;A6PW57;Q99755-3;Q99755;Q99755-2	Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha	PIP5K1A
441290000	337620000	371040000	374440000	460650000	361180000	354620000	283030000	299800000	Q8N884;A6PW79;Q8N884-2	Cyclic GMP-AMP synthase	MB21D1
154480000	63069000	54005000	38260000	24135000	29592000	28335000	31957000	37843000	Q6UXH1;Q6UXH1-5;A6PWM2;Q6UXH1-3;Q6UXH1-2;Q6UXH1-4;Q6UXH1-6	Cysteine-rich with EGF-like domain protein 2	CRELD2
641370000	523450000	493670000	735350000	930240000	743760000	685470000	816810000	808870000	A6ZKI3;Q17RB0;Q9BWD3	Protein FAM127A;Protein FAM127C;Protein FAM127B	FAM127A;FAM127C;FAM127B
3275500000	3860600000	3.855e+09	4609900000	4147100000	4120200000	4841900000	4427200000	4607100000	Q9ULV4;A7MAP0;B4E3S0;H0YHL7	Coronin-1C;Coronin	CORO1C
1620100000	1417600000	1649700000	1641400000	1887300000	1614300000	1557400000	1472900000	1672200000	Q9Y223;H0YFA7;A7UNU7;Q9Y223-3;Q9Y223-2;F5H499	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase;UDP-N-acetylglucosamine 2-epimerase (hydrolyzing);N-acetylmannosamine kinase	GNE
4133900000	4289200000	5298300000	5105200000	5351300000	5755700000	6068200000	5231300000	5414700000	P35241;A7YIJ8;F5H1A7	Radixin	RDX
342150000	510490000	445360000	588600000	728530000	592410000	590980000	550440000	533250000	A8CG34;A8CG34-2	Nuclear envelope pore membrane protein POM 121C	POM121C
327110000	274550000	311360000	261650000	286250000	250400000	319610000	347320000	249310000	Q15811;E9PD98;A8CTY3;A8CTX8;E7ERJ0;F8W7L8;B4DTM2;Q15811-2;Q15811-4;F5H153;F8W7U0;Q15811-3;A7Y322;A8DCP3;E7ERJ1	Intersectin-1	ITSN1
147540000	179560000	226420000	185180000	166110000	132210000	170510000	189220000	153840000	Q9C0D3;A8DPD7;B4DK95	Protein zyg-11 homolog B	ZYG11B
206060000	189820000	201600000	130260000	186690000	128530000	107850000	128930000	136570000	E7EVD0;A8K040;Q9Y6M4;Q9Y6M4-3;B4DSH2;Q9Y6M4-2;P78368;H0YBN6	Casein kinase I isoform gamma-3;Casein kinase I isoform gamma-2	CSNK1G3;CSNK1G2
34546000	31488000	29033000	36049000	31548000	30382000	38946000	53628000	36678000	Q14353;A8K0A0;B4DMJ3	Guanidinoacetate N-methyltransferase	GAMT
87829000	94378000	95648000	138600000	90138000	120080000	95132000	136990000	109430000	Q96LT9;A8K1C9	RNA-binding protein 40	RNPC3
3.689e+09	3525400000	3593400000	4202400000	4296100000	4779700000	4123600000	4219300000	4.42e+09	Q8WWM7;Q8WWM7-6;Q8WWM7-5;Q8WWM7-4;A8K1R6;Q8WWM7-2;Q8WWM7-3;C9JXV8;Q8WWM7-7	Ataxin-2-like protein	ATXN2L
178870000	199800000	364580000	206670000	191850000	80069000	83429000	90737000	124380000	Q5NDL2;B4E243;A8K2U1;Q5NDL2-3	EGF domain-specific O-linked N-acetylglucosamine transferase	EOGT
1.149e+10	9.149e+09	1.1569e+10	8489100000	8830100000	7782200000	9008100000	9241500000	1.0335e+10	P62195;A8K3Z3	26S protease regulatory subunit 8	PSMC5
2340300000	1757900000	2023100000	1584700000	2598800000	2395300000	2174400000	2209400000	1728200000	Q01085;A8K4L9;Q49AS9	Nucleolysin TIAR	TIAL1
43478000	58419000	60132000	27505000	36681000	26938000	17036000	34257000	33721000	Q9BVG8;B7Z896;F5H3M2;F5H4I9;B7Z484;A8K6S2;Q9BVG8-2	Kinesin-like protein KIFC3	KIFC3
205590000	183390000	132670000	126990000	128830000	132880000	152540000	143270000	169830000	O00506;B7Z9K1;A8K6Z3;F5H0B2;C9J6L2;C9JCC0;C9J232;C9JDH9	Serine/threonine-protein kinase 25	STK25
22671000	24509000	39311000	24315000	20811000	24768000	19161000	15056000	19747000	A8K8P3;D3YTJ2;A8K8P3-5;A8K8P3-4;A8K8P3-10;A8K8P3-3;A8K8P3-9;A8K8P3-2	Protein SFI1 homolog	SFI1
607190000	544520000	795450000	353380000	519950000	352860000	757910000	856200000	661820000	P33981;A8K8U5	Dual specificity protein kinase TTK	TTK
258070000	152140000	104940000	31216000	34718000	46196000	30474000	53538000	33367000	Q9ULG6;Q9ULG6-2;A8K9T0;Q9ULG6-4	Cell cycle progression protein 1	CCPG1
102830000	102470000	79257000	135680000	129540000	120160000	142880000	138180000	193400000	P55196;P55196-3;P55196-2;C9IYT9;Q5TIG5;C9JX92;A8MQ02;P55196-6;P55196-1;P55196-5;H0Y7R8	Afadin	MLLT4
1541200000	662770000	908270000	1065800000	1.213e+09	755290000	399160000	952560000	1149200000	A8MQ03	Cysteine-rich tail protein 1	CYSRT1
761350000	630110000	667850000	488310000	595010000	579340000	601920000	583590000	648990000	Q9UIC8;A8MQ43;Q9UIC8-3;Q9UIC8-2	Leucine carboxyl methyltransferase 1	LCMT1
65718000	1e+08	65444000	113620000	128230000	163670000	63591000	74863000	63770000	Q9Y4B5;A8MQ54;Q9Y4B5-2;Q9Y4B5-3	Microtubule cross-linking factor 1	MTCL1
247830000	247580000	311690000	325140000	339290000	292900000	164860000	210220000	263330000	Q5TC12;A8MRA7;H0YEW4;H0YD21;B7Z7D6	ATP synthase mitochondrial F1 complex assembly factor 1	ATPAF1
768190000	902770000	1470500000	1039500000	970360000	641110000	1131600000	952450000	1133900000	Q9BY42;A8MSH5;A2A2L5	Protein RTF2 homolog	RTFDC1
4680700000	4705500000	4.377e+09	3538600000	4179200000	3785600000	4.156e+09	3793600000	3685100000	Q13619;A8MSH7;Q13619-2	Cullin-4A	CUL4A
714730000	683160000	654230000	694840000	681720000	562670000	544020000	572790000	557630000	O94880;O94880-2;A8MSQ1	PHD finger protein 14	PHF14
237370000	183040000	107230000	93405000	114060000	99777000	193220000	218870000	177900000	Q687X5;A8MSX4;C9JS50;Q687X5-2	Metalloreductase STEAP4	STEAP4
265210000	166770000	183010000	253750000	190060000	252480000	188730000	408560000	199960000	Q9H446;E5RGQ3;A8MT24	RWD domain-containing protein 1	RWDD1
129400000	1.08e+08	124920000	137060000	107850000	128970000	95242000	149620000	146990000	A8MT69;A8MT69-2;A8MT69-3	Centromere protein X	STRA13
515980000	424170000	474540000	363970000	349980000	294560000	295070000	264620000	340190000	Q7Z5J4;A8MTC3;E7EVZ3;C9JWB0;Q7Z5J4-3;Q7Z5J4-2;A8MXE8;E7ETW1;Q7Z5J4-4	Retinoic acid-induced protein 1	RAI1
2098100000	2332600000	2130500000	1963300000	1867600000	1571400000	1952800000	1950100000	2162300000	O43670;A8MTG3;H0Y3M2;O43670-2;E1P660;O43670-3	BUB3-interacting and GLEBS motif-containing protein ZNF207	ZNF207
2150900000	2713200000	1.692e+09	2891100000	2291100000	2745800000	2795500000	2726100000	2548400000	P30626;C9J0K6;A8MTH6;B4DKK2;B4DHQ6	Sorcin	SRI
115330000	104900000	57293000	15667000	16047000	273990000	7692500	59642000	58406000	Q8TDR0;Q8TDR0-2;F5H014;A8MTK4	TRAF3-interacting protein 1	TRAF3IP1
273240000	353430000	245700000	316840000	273170000	266860000	266950000	212980000	219140000	Q15398;E7EP14;Q15398-1;A8MTM6	Disks large-associated protein 5	DLGAP5
363090000	317570000	516040000	369840000	386330000	306560000	396330000	311670000	373380000	A8MTT3		CEBPZOS
135560000	111710000	133690000	131320000	119940000	138770000	128790000	173440000	154890000	O14972;A8MTY9;E7EWN9;B7Z6B1;A8MY26;B7Z606	Down syndrome critical region protein 3	DSCR3
496160000	359350000	384310000	435780000	389770000	374060000	258550000	273400000	307700000	Q14185;A8MU08	Dedicator of cytokinesis protein 1	DOCK1
98290000	92429000	123910000	79925000	101090000	66362000	81320000	65892000	76372000	P55854;A8MUA9;A8MU27;B4DUW4	Small ubiquitin-related modifier 3	SUMO3
314960000	309420000	374460000	585280000	776560000	696040000	258320000	273250000	277760000	Q9UJC3;A8MU44	Protein Hook homolog 1	HOOK1
3502900000	6395300000	5442800000	7054600000	6940700000	7702700000	6818800000	7.537e+09	6.177e+09	P68366;A8MUB1	Tubulin alpha-4A chain	TUBA4A
66997000	41325000	58227000	28245000	92368000	67206000	34902000	25453000	56262000	Q53HC9;A8MUM1;C9J0U9;D3YTH5	Protein TSSC1	TSSC1
2.774e+09	3004400000	2580500000	2873100000	2950100000	2787100000	3310200000	3491900000	3258500000	Q52LJ0;A8MUW5	Protein FAM98B	FAM98B
102560000	145880000	88046000	123600000	115380000	87674000	65133000	67223000	70080000	Q92551;A8MUX4;C9JNA8	Inositol hexakisphosphate kinase 1	IP6K1
2130500000	4179300000	4668700000	3586500000	3716700000	3905600000	4477400000	4720600000	4596800000	Q16643;Q16643-2;A8MV58;D6R9W4	Drebrin	DBN1
1067900000	1039200000	1178900000	684900000	655830000	761100000	841680000	905870000	884530000	Q5M775;A8MV89;Q5M775-4;Q5M775-2;Q5M775-5;Q5M775-3	Cytospin-B	SPECC1
43558000	44157000	80723000	50261000	51752000	52043000	29173000	39813000	39489000	Q13574;E9PNL8;A8MVN1;B7Z6M3;Q13574-2;G3V0F6;E9PPW4;Q6ZVG7;O75912;F5H033;E9PFX6;F5H0D5;E7EM72;E7EWQ4	Diacylglycerol kinase zeta;Diacylglycerol kinase;Diacylglycerol kinase iota	DGKZ;DGKI
3.549e+09	2.788e+09	3362300000	2697300000	2566500000	2166400000	2389300000	2679700000	2607800000	O43660;A8MW61;O43660-2;D6RA26	Pleiotropic regulator 1	PLRG1
3015200000	2986100000	2740900000	926250000	1210100000	1222300000	3884200000	4236400000	3.851e+09	P47755;A8MW68;F8W9N7;B4DE01;C9JUG7;B4DG50	F-actin-capping protein subunit alpha-2	CAPZA2
3658100000	3775200000	3288500000	3430400000	3330600000	3784500000	3746600000	3697400000	3978200000	O15371;A8MWD3;B4DVY1;B0QYA5	Eukaryotic translation initiation factor 3 subunit D	EIF3D
3064800000	2996400000	3.607e+09	3280900000	3736100000	3107200000	3413900000	3060500000	3410500000	P62308;A8MWD9;F5H5R7;C9JVQ0;Q49AN9;F5H013	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15
561330000	866920000	573450000	343270000	439240000	455670000	469730000	452830000	508100000	P19022;A8MWK3	Cadherin-2	CDH2
29193000	20929000	15883000	12229000	7282800	9723900	16250000	20727000	17838000	Q8TF74;A8MWR2;Q8TF74-2	WAS/WASL-interacting protein family member 2	WIPF2
48778000	62633000	44381000	75119000	89390000	103170000	56359000	49925000	53607000	Q9UMZ2;Q9UMZ2-4;Q9UMZ2-3;A8MWU4;Q9UMZ2-5	Synergin gamma	SYNRG
35979000	27189000	38984000	29557000	29509000	38478000	29533000	28505000	34665000	P52746;A8MWU9	Zinc finger protein 142	ZNF142
5793900000	4355400000	5096100000	5125200000	5750100000	5223800000	4436300000	4007100000	4904100000	E7EUR0;E7EX90;A8MWX9;E9PFS5;Q14203;E9PGE1;A8MY36;G5E9H4;Q14203-2;Q6AWB1	Dynactin subunit 1	DCTN1;DKFZp686E0752
408990000	480610000	400060000	402330000	359510000	394250000	306630000	352300000	302400000	Q9BZ29;Q9BZ29-5;A8MWZ5;E9PCD6;D3YTH2;Q9BZ29-3;Q9BZ29-4;Q6ZSL5;E9PFM9	Dedicator of cytokinesis protein 9	DOCK9
