Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P13585	AT2A1_CHICK	reviewed	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (SERCA1) (SR Ca(2+)-ATPase 1) (EC 3.6.3.8) (Calcium pump 1) (Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	ATP2A1	Gallus gallus (Chicken)	994
Q98SH2	AT2B1_CHICK	reviewed	Plasma membrane calcium-transporting ATPase 1 (PMCA1) (EC 3.6.3.8) (Plasma membrane calcium ATPase isoform 1) (Plasma membrane calcium pump isoform 1) (Fragment)	ATP2B1 PMCA1	Gallus gallus (Chicken)	214
P56736	AVR7_CHICK	reviewed	Avidin-related protein 7	AVR7	Gallus gallus (Chicken)	150
O42400	AXIN1_CHICK	reviewed	Axin-1 (Axis inhibition protein 1)	AXIN1 AXIN AXN	Gallus gallus (Chicken)	841
Q5ZJA4	ARP5_CHICK	reviewed	Actin-related protein 5	ACTR5 RCJMB04_19k24	Gallus gallus (Chicken)	611
P14093	ATP8_CHICK	reviewed	ATP synthase protein 8 (A6L) (F-ATPase subunit 8)	MT-ATP8 ATP8 ATPASE8 MTATP8	Gallus gallus (Chicken)	54
Q1XA76	ASIC1_CHICK	reviewed	Acid-sensing ion channel 1 (ASIC1) (Amiloride-sensitive cation channel 2, neuronal)	ASIC1 ACCN2	Gallus gallus (Chicken)	527
Q92056	ASMT_CHICK	reviewed	Acetylserotonin O-methyltransferase (EC 2.1.1.4) (Hydroxyindole O-methyltransferase) (HIOMT)	ASMT	Gallus gallus (Chicken)	346
P09572	AT1A1_CHICK	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1)	ATP1A1	Gallus gallus (Chicken)	1021
P24797	AT1A2_CHICK	reviewed	Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-2)	ATP1A2	Gallus gallus (Chicken)	1017
P24798	AT1A3_CHICK	reviewed	Sodium/potassium-transporting ATPase subunit alpha-3 (Na(+)/K(+) ATPase alpha-3 subunit) (EC 3.6.3.9) (Na(+)/K(+) ATPase alpha(III) subunit) (Sodium pump subunit alpha-3)	ATP1A3	Gallus gallus (Chicken)	1010
Q2HZ96	AT1B4_CHICK	reviewed	Protein ATP1B4 (X,K-ATPase subunit beta-m) (X/potassium-transporting ATPase subunit beta-m)	ATP1B4	Gallus gallus (Chicken)	321
Q03669	AT2A2_CHICK	reviewed	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 3.6.3.8) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	ATP2A2	Gallus gallus (Chicken)	1041
Q5ZLC5	ATPB_CHICK	reviewed	ATP synthase subunit beta, mitochondrial (EC 3.6.3.14) (ATP synthase F1 subunit beta)	ATP5F1B ATP5B RCJMB04_6l18	Gallus gallus (Chicken)	533
O93602	ATF2_CHICK	reviewed	Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (EC 2.3.1.48) (Activating transcription factor 2)	ATF2	Gallus gallus (Chicken)	487
P56734	AVR4_CHICK	reviewed	Avidin-related protein 4/5	AVR4; AVR5	Gallus gallus (Chicken)	150
Q00709	BCL2_CHICK	reviewed	Apoptosis regulator Bcl-2	BCL2 BCL-2	Gallus gallus (Chicken)	233
Q90670	AVR2B_CHICK	reviewed	Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB)	ACVR2B	Gallus gallus (Chicken)	512
Q5F486	BAG5_CHICK	reviewed	BAG family molecular chaperone regulator 5 (BAG-5) (Bcl-2-associated athanogene 5)	BAG5 RCJMB04_2e5	Gallus gallus (Chicken)	450
Q5ZM88	ASXL2_CHICK	reviewed	Putative Polycomb group protein ASXL2 (Additional sex combs-like protein 2)	ASXL2 RCJMB04_2n14	Gallus gallus (Chicken)	1412
P33879	AT1B3_CHICK	reviewed	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3)	ATP1B3	Gallus gallus (Chicken)	280
Q5ZKY2	ATG7_CHICK	reviewed	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like)	ATG7 APG7L RCJMB04_8l10	Gallus gallus (Chicken)	709
Q5ZJ23	ASSY_CHICK	reviewed	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	ASS1 RCJMB04_21j5	Gallus gallus (Chicken)	416
F8RT80	ASTER_CHICK	reviewed	Protein Asterix (Protein WDR83OS homolog)	WDR83OS	Gallus gallus (Chicken)	101
O57598	ATOH7_CHICK	reviewed	Protein atonal homolog 7 (Helix-loop-helix protein cATH-5) (cATH5) (Protein atonal homolog 5)	ATOH7 ATH5	Gallus gallus (Chicken)	151
P56735	AVR6_CHICK	reviewed	Avidin-related protein 6	AVR6	Gallus gallus (Chicken)	150
O13153	AVR1_CHICK	reviewed	Avidin-related protein 1	AVR1	Gallus gallus (Chicken)	150
Q90669	AVR2A_CHICK	reviewed	Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)	ACVR2A	Gallus gallus (Chicken)	513
P02701	AVID_CHICK	reviewed	Avidin	AVD	Gallus gallus (Chicken)	152
P56732	AVR2_CHICK	reviewed	Avidin-related protein 2	AVR2	Gallus gallus (Chicken)	150
P21611	B2MG_CHICK	reviewed	Beta-2-microglobulin	B2M	Gallus gallus (Chicken)	119
Q5ZML0	BABA2_CHICK	reviewed	BRISC and BRCA1-A complex member 2 (BRCA1-A complex subunit BRE) (BRCA1/BRCA2-containing complex subunit 45) (Brain and reproductive organ-expressed protein)	BABAM2 BRE RCJMB04_1l17	Gallus gallus (Chicken)	383
P23614	BASP1_CHICK	reviewed	Brain acid soluble protein 1 homolog (23 kDa cortical cytoskeleton-associated protein) (CAP-23)	BASP1	Gallus gallus (Chicken)	244
Q5ZKL7	BIN2_CHICK	reviewed	Bridging integrator 2	BIN2 RCJMB04_10b19	Gallus gallus (Chicken)	476
Q9W6D8	BARX1_CHICK	reviewed	Homeobox protein BarH-like 1 (Fragment)	BARX1	Gallus gallus (Chicken)	207
P25429	BDNF_CHICK	reviewed	Brain-derived neurotrophic factor (BDNF)	BDNF	Gallus gallus (Chicken)	246
Q5ZKS6	BECN1_CHICK	reviewed	Beclin-1	BECN1 RCJMB04_9f22	Gallus gallus (Chicken)	447
Q8JGM8	BID_CHICK	reviewed	BH3-interacting domain death agonist	BID RCJMB04_7d15	Gallus gallus (Chicken)	193
Q9W689	ATX3_CHICK	reviewed	Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1 homolog)	ATXN3 MDJ1 MJD	Gallus gallus (Chicken)	363
Q9DE13	BAZ2B_CHICK	reviewed	Bromodomain adjacent to zinc finger domain protein 2B (Extracellular matrix protein F22)	BAZ2B	Gallus gallus (Chicken)	2130
Q9DDT2	BCAP_CHICK	reviewed	Phosphoinositide 3-kinase adapter protein 1 (B-cell adapter for phosphoinositide 3-kinase) (B-cell phosphoinositide 3-kinase adapter protein 1)	PIK3AP1 BCAP	Gallus gallus (Chicken)	800
P79777	BRAC_CHICK	reviewed	Brachyury protein (Protein T)	T	Gallus gallus (Chicken)	433
Q5F3N6	BAP1_CHICK	reviewed	Ubiquitin carboxyl-terminal hydrolase BAP1 (EC 3.4.19.12) (BRCA1-associated protein 1)	BAP1 RCJMB04_11f19	Gallus gallus (Chicken)	700
Q9DED6	BAX1B_CHICK	reviewed	Homeobox protein BarH-like 1b (Bar class homeoprotein Barx1b)	BARX1B	Gallus gallus (Chicken)	247
Q71T09	BHE22_CHICK	reviewed	Class E basic helix-loop-helix protein 22 (bHLHe22) (Class B basic helix-loop-helix protein 5) (bHLHb5) (NeuroB) (Protein BETA3)	BHLHE22 BHLHB5	Gallus gallus (Chicken)	311
Q9I920	BLM_CHICK	reviewed	Bloom syndrome protein homolog (EC 3.6.4.12) (RecQ helicase homolog)	BLM	Gallus gallus (Chicken)	1183
P86345	BORE2_CHICK	reviewed	Borealin-2 (Cell division cycle-associated protein 9) (Dasra-A) (GgDasraA)	CDCA9	Gallus gallus (Chicken)	312
Q6RFL5	BSH_CHICK	reviewed	Brain-specific homeobox protein homolog	BSX	Gallus gallus (Chicken)	233
P56733	AVR3_CHICK	reviewed	Avidin-related protein 3	AVR3	Gallus gallus (Chicken)	150
Q5ZJZ5	BDH_CHICK	reviewed	D-beta-hydroxybutyrate dehydrogenase, mitochondrial (EC 1.1.1.30) (3-hydroxybutyrate dehydrogenase) (BDH)	BDH1 BDH RCJMB04_14d17	Gallus gallus (Chicken)	339
P15575	B3AT_CHICK	reviewed	Band 3 anion transport protein (Solute carrier family 4 member 1)	SLC4A1	Gallus gallus (Chicken)	922
P17790	BASI_CHICK	reviewed	Basigin (5A11 antigen) (Blood-brain barrier HT7 antigen) (Neurothelin)	BSG	Gallus gallus (Chicken)	388
Q9I993	BCDO1_CHICK	reviewed	Beta,beta-carotene 15,15'-dioxygenase (EC 1.13.11.63) (Beta-carotene dioxygenase 1) (Beta-carotene oxygenase 1)	BCO1 BCDO BCMO1	Gallus gallus (Chicken)	526
Q5ZM39	BCL6_CHICK	reviewed	B-cell lymphoma 6 protein homolog	BCL6 RCJMB04_3d20	Gallus gallus (Chicken)	708
Q90593	BIP_CHICK	reviewed	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	HSPA5 GRP78	Gallus gallus (Chicken)	652
P87362	BLMH_CHICK	reviewed	Bleomycin hydrolase (BH) (BLM hydrolase) (BMH) (EC 3.4.22.40) (Aminopeptidase H)	BLMH	Gallus gallus (Chicken)	455
Q07816	B2CL1_CHICK	reviewed	Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X)	BCL2L1 BCL-X BCLX	Gallus gallus (Chicken)	229
Q5F3E8	BACD2_CHICK	reviewed	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2 (BTB/POZ domain-containing protein TNFAIP1)	TNFAIP1 RCJMB04_19f9	Gallus gallus (Chicken)	314
Q06637	BFSP1_CHICK	reviewed	Filensin (Beaded filament structural protein 1) (Lens fiber cell beaded-filament structural protein CP 95) (CP95)	BFSP1	Gallus gallus (Chicken)	657
Q8QGQ7	BMAL2_CHICK	reviewed	Aryl hydrocarbon receptor nuclear translocator-like protein 2 (Brain and muscle ARNT-like 2) (cBMAL2)	ARNTL2 BMAL2	Gallus gallus (Chicken)	622
Q90751	BMP2_CHICK	reviewed	Bone morphogenetic protein 2 (BMP-2) (Fragment)	BMP2 BMP-2	Gallus gallus (Chicken)	353
Q90752	BMP4_CHICK	reviewed	Bone morphogenetic protein 4 (BMP-4)	BMP4 BMP-4	Gallus gallus (Chicken)	405
Q90660	BIR_CHICK	reviewed	Inhibitor of apoptosis protein (IAP) (Inhibitor of T-cell apoptosis protein)	ITA IAP1	Gallus gallus (Chicken)	611
Q5ZK77	BL1S5_CHICK	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit 5 (BLOC-1 subunit 5) (Protein Muted homolog)	BLOC1S5 MUTED RCJMB04_12k14	Gallus gallus (Chicken)	196
Q05438	BMR1B_CHICK	reviewed	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (Activin receptor-like kinase 6) (ALK-6) (RPK-1) (Serine/threonine-protein kinase receptor R6) (SKR6)	BMPR1B	Gallus gallus (Chicken)	502
Q91998	BRN3_CHICK	reviewed	Brain-specific homeobox/POU domain protein 3 (Brain-3) (Brn-3)	BRN3	Gallus gallus (Chicken)	341
Q5ZKE5	CAB45_CHICK	reviewed	45 kDa calcium-binding protein (Cab45) (Stromal cell-derived factor 4) (SDF-4)	SDF4 CAB45 RCJMB04_11g4	Gallus gallus (Chicken)	356
Q9W6U8	MEF2A_CHICK	reviewed	Myocyte-specific enhancer factor 2A	MEF2A	Gallus gallus (Chicken)	499
P13854	MGF_CHICK	reviewed	Myelomonocytic growth factor (MGF)		Gallus gallus (Chicken)	201
Q5ZM83	MIRO2_CHICK	reviewed	Mitochondrial Rho GTPase 2 (MIRO-2) (EC 3.6.5.-) (Ras homolog gene family member T2)	RHOT2 RCJMB04_2o8	Gallus gallus (Chicken)	618
P02605	MLE3_CHICK	reviewed	Myosin light chain 3, skeletal muscle isoform (Alkali myosin light chain 3) (MLC-3) (Myosin light chain 3f) (Myosin light chain alkali 2) (Myosin light chain A2) (Skeletal-muscle myosin L-4 light chain)		Gallus gallus (Chicken)	150
P09540	MLEX_CHICK	reviewed	Myosin light chain, embryonic (L23)		Gallus gallus (Chicken)	185
P79996	MK09_CHICK	reviewed	Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2)	MAPK9 JNK2	Gallus gallus (Chicken)	382
Q9PWR1	KCAB1_CHICK	reviewed	Voltage-gated potassium channel subunit beta-1 (EC 1.1.1.-) (K(+) channel subunit beta-1) (Kv-beta-1)	KCNAB1 KVB1.1	Gallus gallus (Chicken)	401
Q5ZL54	KHDC4_CHICK	reviewed	KH homology domain-containing protein 4 (Brings lots of money 7) (Pre-mRNA splicing factor protein KHDC4)	KHDC4 BLOM7 RCJMB04_7l9	Gallus gallus (Chicken)	619
P04047	KITH_CHICK	reviewed	Thymidine kinase, cytosolic (EC 2.7.1.21)	TK1	Gallus gallus (Chicken)	224
Q5ZK13	KIZ_CHICK	reviewed	Centrosomal protein kizuna (Polo-like kinase 1 substrate 1)	KIZ PLK1S1 RCJMB04_13o7	Gallus gallus (Chicken)	564
P25692	KRCL_CHICK	reviewed	Claw keratin (C-ker) (cKer)	CKER1	Gallus gallus (Chicken)	128
Q5ZJP7	KCTD7_CHICK	reviewed	BTB/POZ domain-containing protein KCTD7	KCTD7 RCJMB04_16j10	Gallus gallus (Chicken)	289
Q5ZIX8	KDM3A_CHICK	reviewed	Lysine-specific demethylase 3A (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 2A) (Jumonji domain-containing protein 1A)	KDM3A JHDM2A JMJD1A RCJMB04_22o22	Gallus gallus (Chicken)	1325
Q5F3R2	KDM5B_CHICK	reviewed	Lysine-specific demethylase 5B (EC 1.14.11.-) (Histone demethylase JARID1B) (Jumonji/ARID domain-containing protein 1B)	KDM5B JARID1B RCJMB04_9d3	Gallus gallus (Chicken)	1522
Q8UUW7	KHDR1_CHICK	reviewed	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (Src-associated in mitosis 68 kDa protein) (Sam68)	KHDRBS1 SAM68	Gallus gallus (Chicken)	433
O13152	KRFJ_CHICK	reviewed	Beta-keratin-related protein	BKJ	Gallus gallus (Chicken)	109
Q5F3L1	KS6A5_CHICK	reviewed	Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1)	RPS6KA5 RCJMB04_14g1	Gallus gallus (Chicken)	789
Q5ZKW2	LZIC_CHICK	reviewed	Protein LZIC (Leucine zipper and CTNNBIP1 domain-containing protein) (Leucine zipper and ICAT homologous domain-containing protein)	LZIC RCJMB04_8o19	Gallus gallus (Chicken)	190
Q90595	MAFF_CHICK	reviewed	Transcription factor MafF (V-maf musculoaponeurotic fibrosarcoma oncogene homolog F)	MAFF	Gallus gallus (Chicken)	149
Q90889	MAFG_CHICK	reviewed	Transcription factor MafG (V-maf musculoaponeurotic fibrosarcoma oncogene homolog G)	MAFG	Gallus gallus (Chicken)	162
P16527	MARCS_CHICK	reviewed	Myristoylated alanine-rich C-kinase substrate (MARCKS)	MARCKS	Gallus gallus (Chicken)	281
Q5ZJ41	MARH5_CHICK	reviewed	E3 ubiquitin-protein ligase MARCH5 (EC 2.3.2.27) (Membrane-associated RING finger protein 5) (Membrane-associated RING-CH protein V) (MARCH-V) (RING-type E3 ubiquitin transferase MARCH5)	MARCH5 RCJMB04_20o22	Gallus gallus (Chicken)	281
P05099	MATN1_CHICK	reviewed	Cartilage matrix protein (Matrilin-1)	MATN1 CMP	Gallus gallus (Chicken)	493
O42401	MATN3_CHICK	reviewed	Matrilin-3	MATN3	Gallus gallus (Chicken)	452
P52162	MAX_CHICK	reviewed	Protein max (Myc-associated factor X)	MAX	Gallus gallus (Chicken)	160
Q5F3W3	MK06_CHICK	reviewed	Mitogen-activated protein kinase 6 (MAP kinase 6) (MAPK 6) (EC 2.7.11.24)	MAPK6 RCJMB04_5i17	Gallus gallus (Chicken)	721
P10741	MOS_CHICK	reviewed	Serine/threonine-protein kinase mos (EC 2.7.11.1) (Oocyte maturation factor mos)	MOS	Gallus gallus (Chicken)	349
Q5ZK82	MPPE1_CHICK	reviewed	Metallophosphoesterase 1 (EC 3.1.-.-) (Post-GPI attachment to proteins factor 5)	MPPE1 PGAP5 RCJMB04_12i13	Gallus gallus (Chicken)	398
P20308	KRFA_CHICK	reviewed	Feather keratin 4 (F-ker) (Keratin gene A protein)		Gallus gallus (Chicken)	98
P04458	KRFB_CHICK	reviewed	Feather keratin 2 (F-ker) (Keratin gene B protein)		Gallus gallus (Chicken)	98
P02606	MLEC_CHICK	reviewed	Myosin light chain 1, cardiac muscle (Myosin light chain alkali 1) (Myosin light chain A1)		Gallus gallus (Chicken)	194
P02610	MLRA_CHICK	reviewed	Myosin regulatory light chain 2A, cardiac muscle isoform (G2) (MLC-2A)		Gallus gallus (Chicken)	165
Q5ZHP8	METL2_CHICK	reviewed	Methyltransferase-like protein 2 (EC 2.1.1.-)	METTL2 RCJMB04_34l11	Gallus gallus (Chicken)	370
Q5ZIT9	MFSD1_CHICK	reviewed	Major facilitator superfamily domain-containing protein 1	MFSD1 RCJMB04_23j9	Gallus gallus (Chicken)	442
O42413	MGP_CHICK	reviewed	Matrix Gla protein (MGP)	MGP	Gallus gallus (Chicken)	103
Q5ZK55	MIC27_CHICK	reviewed	MICOS complex subunit MIC27 (Apolipoprotein O-like) (Protein FAM121A)	APOOL FAM121A MIC27 RCJMB04_13b18	Gallus gallus (Chicken)	272
E1BW58	MIEAP_CHICK	reviewed	Mitochondria-eating protein (Spermatogenesis-associated protein 18)	SPATA18 MIEAP	Gallus gallus (Chicken)	479
Q5ZKT9	MIER1_CHICK	reviewed	Mesoderm induction early response protein 1 (Mi-er1)	MIER1 RCJMB04_9c22	Gallus gallus (Chicken)	513
F1NPQ2	MINP1_CHICK	reviewed	Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) (EC 3.1.3.80) (Band 17) (Histidine phosphatase of the endoplasmic reticulum 1) (HiPER1)	MINPP1	Gallus gallus (Chicken)	448
P24052	MK_CHICK	reviewed	Midkine (Retinoic acid-induced heparin-binding protein) (RI-HB)	RIHB	Gallus gallus (Chicken)	142
P02612	MLRM_CHICK	reviewed	Myosin regulatory light chain 2, smooth muscle major isoform (MLC-2) (DTNB) (G1) (Isoform L20-A)		Gallus gallus (Chicken)	172
E1C2Z0	MMS22_CHICK	reviewed	Protein MMS22-like (Methyl methanesulfonate-sensitivity protein 22-like)	MMS22L	Gallus gallus (Chicken)	1243
Q5ZIJ9	MIB2_CHICK	reviewed	E3 ubiquitin-protein ligase MIB2 (EC 2.3.2.27) (Mind bomb homolog 2) (RING-type E3 ubiquitin transferase MIB2)	MIB2 RCJMB04_25j24	Gallus gallus (Chicken)	954
P28238	MIP_CHICK	reviewed	Lens fiber major intrinsic protein (Aquaporin-0) (AQP0) (MIP26) (MP26)	MIP	Gallus gallus (Chicken)	262
Q5ZM73	MIRO1_CHICK	reviewed	Mitochondrial Rho GTPase 1 (MIRO-1) (EC 3.6.5.-) (Ras homolog gene family member T1)	RHOT1 RCJMB04_2p2	Gallus gallus (Chicken)	619
Q90733	COT2_CHICK	reviewed	COUP transcription factor 2 (COUP-TF2) (COUP transcription factor II) (COUP-TF II) (Nuclear receptor subfamily 2 group F member 2)	NR2F2 TFCOUP2	Gallus gallus (Chicken)	410
P79761	CP1A5_CHICK	reviewed	Cytochrome P450 1A5 (EC 1.14.14.1) (CYPIA5) (Cytochrome P450 TCDDAA)	CYP1A5	Gallus gallus (Chicken)	528
P20678	CP2H2_CHICK	reviewed	Cytochrome P450 2H2 (EC 1.14.14.1) (CYPIIH2) (Cytochrome P450 PCHP7)	CYP2H2	Gallus gallus (Chicken)	491
Q8AWW5	CRIM1_CHICK	reviewed	Cysteine-rich motor neuron 1 protein (CRIM-1)	CRIM1	Gallus gallus (Chicken)	1048
Q5ZJ97	K1143_CHICK	reviewed	Uncharacterized protein KIAA1143 homolog	RCJMB04_19n18	Gallus gallus (Chicken)	159
Q5ZJ26	K1671_CHICK	reviewed	Uncharacterized protein KIAA1671 homolog	RCJMB04_21h11	Gallus gallus (Chicken)	313
O93256	K1C19_CHICK	reviewed	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (GK-19) (Keratin-19) (K19)	KRT19	Gallus gallus (Chicken)	423
O93532	K2CO_CHICK	reviewed	Keratin, type II cytoskeletal cochleal (Cytokeratin otokeratin)		Gallus gallus (Chicken)	492
P33005	KALM_CHICK	reviewed	Anosmin-1 (Kallmann syndrome protein homolog)	ANOS1 KAL KAL1	Gallus gallus (Chicken)	675
Q5ZJW6	KBRS2_CHICK	reviewed	NF-kappa-B inhibitor-interacting Ras-like protein 2 (I-kappa-B-interacting Ras-like protein 2) (Kappa B-Ras protein 2) (KappaB-Ras2)	NKIRAS2 RCJMB04_15a13	Gallus gallus (Chicken)	191
Q5ZLL1	KC1E_CHICK	reviewed	Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1)	CSNK1E DBT RCJMB04_5k10	Gallus gallus (Chicken)	416
Q7T199	KCA10_CHICK	reviewed	Potassium voltage-gated channel subfamily A member 10	KCNA10	Gallus gallus (Chicken)	516
O42235	KERA_CHICK	reviewed	Keratocan (KTN) (Keratan sulfate proteoglycan keratocan)	KERA	Gallus gallus (Chicken)	353
Q08156	KIT_CHICK	reviewed	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit)	KIT	Gallus gallus (Chicken)	960
Q5F3N5	KLH14_CHICK	reviewed	Kelch-like protein 14	KLHL14 RCJMB04_11g14	Gallus gallus (Chicken)	622
Q5ZJU2	KLH15_CHICK	reviewed	Kelch-like protein 15	KLHL15 RCJMB04_15l4	Gallus gallus (Chicken)	488
P23498	OSTP_CHICK	reviewed	Osteopontin (Bone sialoprotein 1) (Secreted phosphoprotein 1) (SPP-1)	SPP1	Gallus gallus (Chicken)	264
Q9I8P6	OTOR_CHICK	reviewed	Otoraplin	OTOR	Gallus gallus (Chicken)	132
P68248	PAHO_CHICK	reviewed	Pancreatic hormone (Pancreatic polypeptide) (PP)	PPY	Gallus gallus (Chicken)	80
P47236	PAX1_CHICK	reviewed	Paired box protein Pax-1 (Fragment)	PAX1 GPX-1	Gallus gallus (Chicken)	203
Q5ZL18	P20D1_CHICK	reviewed	N-fatty-acyl-amino acid synthase/hydrolase PM20D1 (EC 3.5.1.-) (EC 4.3.-.-) (Peptidase M20 domain-containing protein 1)	PM20D1 RCJMB04_8d17	Gallus gallus (Chicken)	517
P16924	P4HA1_CHICK	reviewed	Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)	P4HA1 P4HA	Gallus gallus (Chicken)	516
Q5ZIK0	P4K2B_CHICK	reviewed	Phosphatidylinositol 4-kinase type 2-beta (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-beta)	PI4K2B RCJMB04_25j21	Gallus gallus (Chicken)	479
Q8JHZ8	PALD_CHICK	reviewed	Paladin	PALD1 PALD RCJMB04_11g7	Gallus gallus (Chicken)	868
Q5ZKL9	PARI_CHICK	reviewed	PCNA-interacting partner (PARI) (PARP-1 binding protein) (PARP1-binding protein) (PARPBP)	PARPBP PARI RCJMB04_10b14	Gallus gallus (Chicken)	580
Q8UW59	PARK7_CHICK	reviewed	Protein/nucleic acid deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Maillard deglycase) (Parkinson disease protein 7 homolog) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1)	PARK7	Gallus gallus (Chicken)	189
Q90667	NREP_CHICK	reviewed	Neuronal regeneration-related protein (Neuronal protein 3.1) (Protein p311)	NREP	Gallus gallus (Chicken)	68
Q5ZI22	NUPL2_CHICK	reviewed	Nucleoporin-like protein 2	NUPL2 RCJMB04_31e20	Gallus gallus (Chicken)	413
